key,product_code,description,step_name,machine,start_time,end_time,duration_min,machine_group,machine_prefix,machine_num,log_duration
txPWzoriKMuP4Le4ZUQOUo,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Premix,HSM-1,5/9/2024 11:20:00,5/9/2024 11:35:00,15.0,HSM,HSM,1,2.772588722239781
c2A9zmR2vTHvfbnDogjUSv,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind (Part A),BKM-11,5/10/2024 7:30:00,5/10/2024 12:30:00,300.0,BKM,BKM,11,5.707110264748875
IYjn62HQLzvLszapEjZqzF,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grits Check,BKM-11,5/10/2024 12:30:00,5/10/2024 14:30:00,120.0,BKM,BKM,11,4.795790545596741
pHzs9uBPInXMTYWS0i8kUB,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Premix,HSM-1,4/16/2024 11:55:00,4/16/2024 12:10:00,15.0,HSM,HSM,1,2.772588722239781
TIZcQ0zVgRyE3FhS1XPliC,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Grind (Part A),BKM-16,5/23/2024 11:00:00,5/23/2024 14:30:00,210.0,BKM,BKM,16,5.351858133476067
RMDxoBhOCMqWfXH83cqyGN,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Grits Check,BKM-16,5/23/2024 15:00:00,5/23/2024 15:30:00,30.0,BKM,BKM,16,3.4339872044851463
AESDwmHpur4QRd8wOigAW2,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,PMWS Printing,BKM-11,5/24/2024 11:22:00,5/24/2024 11:23:00,1.0,BKM,BKM,11,0.6931471805599453
pEWkLNyH7uHvSw7kVOWNj5,RM2-ACX-60,DAVIES ACREEX BLACK,Grind (Part A),BKM-6,5/17/2024 10:30:00,5/17/2024 14:30:00,240.0,BKM,BKM,6,5.484796933490655
0TqTO27xeHXoTORewbUoA5,RM2-ACX-60,DAVIES ACREEX BLACK,Grind (Part A),BKM-5,5/26/2024 10:00:00,5/26/2024 11:00:00,60.0,BKM,BKM,5,4.110873864173311
0pqyLR3eCjWfkCPdVRmS94,RM2-ACX-60,DAVIES ACREEX BLACK,Grind (Part A),BKM-5,5/27/2024 6:30:00,5/27/2024 9:30:00,180.0,BKM,BKM,5,5.198497031265826
